uf;municipio;matricula_tecnico;setor
PR;CURITIBA;TR791357;PR.CWN.CEO.11
PR;CURITIBA;TR791357;PR.CSM.TAR.11
PR;CURITIBA;TR791357;PR.CWS.BOQ.11
PR;CURITIBA;TR791675;PR.CWS.ARR.12
PR;CURITIBA;TR791675;PR.CWS.BOQ.11
PR;CURITIBA;TR791675;PR.CWS.ARR.11
PR;CURITIBA;TR791675;PR.CWS.ARR.13
PR;CURITIBA;TR791675;PR.CWS.PIN.11
PR;CURITIBA;TR791680;PR.CNM.BOV.11
PR;CURITIBA;TR791680;PR.CWS.BOQ.11
PR;CURITIBA;TR791684;PR.CSM.TAR.11
PR;CURITIBA;TR791684;PR.CWN.CEO.11
PR;CURITIBA;TR791684;PR.CNM.BOV.11
PR;CURITIBA;TR791684;PR.CWS.BOQ.11
PR;CURITIBA;TR791685;PR.CSM.TAR.11
PR;CURITIBA;TR791685;PR.CWS.BOQ.11
PR;CURITIBA;TR791685;PR.CWN.CEO.11
PR;CURITIBA;TR791685;PR.CWS.ARR.12
PR;CURITIBA;TR791686;PR.CNM.BOV.11
PR;CURITIBA;TR791687;PR.CWS.PIN.11
PR;CURITIBA;TR791687;PR.CWN.CEO.11
PR;CURITIBA;TR791687;PR.CWS.BOQ.11
PR;CURITIBA;TR791687;PR.CSM.TAR.11
PR;CURITIBA;TR791692;PR.CWN.CEO.11
PR;CURITIBA;TR791692;PR.CWN.CEO.12
PR;CURITIBA;TR791692;PR.CWS.ARR.13
PR;CURITIBA;TR791702;PR.CWN.CEO.11
PR;CURITIBA;TR791702;PR.CWS.ARR.11
PR;CURITIBA;TR791898;PR.CSM.TAR.11
PR;CURITIBA;TR791898;PR.CWS.BOQ.11
PR;CURITIBA;TR791899;PR.CWN.CEO.12
PR;CURITIBA;TR791899;PR.CWN.CEO.11
PR;CURITIBA;TR791901;PR.CWN.CEO.12
PR;CURITIBA;TR791901;PR.CWN.CEO.11
PR;CURITIBA;TR791901;PR.CSM.TAR.11
PR;CURITIBA;TR792316;PR.CWS.ARR.13
PR;CURITIBA;TR792316;PR.CWS.ARR.12
PR;CURITIBA;TR792317;PR.CNM.ATT.11
PR;CURITIBA;TR792317;PR.CWN.SFE.11
PR;CURITIBA;TR792317;PR.CNM.BOV.11
PR;CURITIBA;TR792317;PR.CWN.CEO.12
PR;CURITIBA;TR792317;PR.CWS.BOQ.11
PR;CURITIBA;TR792317;PR.CSM.TAR.11
PR;CURITIBA;TR792318;PR.CNM.ATT.11
PR;CURITIBA;TR792318;PR.CWN.SFE.11
PR;CURITIBA;TR792318;PR.CSM.TAR.11
PR;CURITIBA;TR792318;PR.CWS.BOQ.11
PR;CURITIBA;TR792318;PR.CNM.BOV.11
PR;CURITIBA;TR792320;PR.CNM.ATT.11
PR;CURITIBA;TR792320;PR.CWN.CEO.11
PR;CURITIBA;TR792320;PR.CNM.BOV.11
PR;CURITIBA;TR792320;PR.CSM.TAR.11
PR;CURITIBA;TR792320;PR.CWS.ARR.11
PR;CURITIBA;TR792320;PR.CWN.CEO.12
PR;CURITIBA;TR792320;PR.CWS.ARR.12
PR;CURITIBA;TR792320;PR.CWS.BOQ.11
PR;CURITIBA;TR792320;PR.CWS.ARR.13
PR;CURITIBA;TR792320;PR.CWN.SFE.11
PR;CURITIBA;TR792323;PR.CWS.BOQ.11
PR;CURITIBA;TR792323;PR.CWS.ARR.12
PR;CURITIBA;TR792323;PR.CWS.PIN.11
PR;CURITIBA;TR792323;PR.CWS.ARR.11
PR;CURITIBA;TR792325;PR.CWN.CEO.12
PR;CURITIBA;TR792325;PR.CNM.ATT.11
PR;CURITIBA;TR792325;PR.CWS.BOQ.11
PR;CURITIBA;TR792325;PR.CNM.BOV.11
PR;CURITIBA;TR792325;PR.CSM.TAR.11
PR;CURITIBA;TR792325;PR.CWS.ARR.11
PR;CURITIBA;TR792325;PR.CWN.SFE.11
PR;CURITIBA;TR792327;PR.CWS.ARR.11
PR;CURITIBA;TR792327;PR.CWS.PIN.11
PR;CURITIBA;TR792327;PR.CWS.BOQ.11
PR;CURITIBA;TR792327;PR.CWS.ARR.13
PR;CURITIBA;TR792327;PR.CWS.ARR.12
PR;CURITIBA;TR792327;PR.CWN.SFE.11
PR;CURITIBA;TR792911;PR.CWN.CEO.11
PR;CURITIBA;TR792911;PR.CWN.CEO.12
PR;CURITIBA;TR792911;PR.CSM.TAR.11
PR;CURITIBA;TR792911;PR.CNM.BOV.11
PR;CURITIBA;TR792911;PR.CWS.BOQ.11
PR;CURITIBA;TR792911;PR.CWS.PIN.11
PR;CURITIBA;TR792918;PR.CWN.SFE.11
PR;CURITIBA;TR792918;PR.CWS.ARR.13
PR;CURITIBA;TR792918;PR.CWS.PIN.11
PR;CURITIBA;TR792918;PR.CWN.CEO.12
PR;CURITIBA;TR792922;PR.CWN.CEO.12
PR;CURITIBA;TR792922;PR.CWS.BOQ.11
PR;CURITIBA;TR792922;PR.CWS.ARR.13
PR;CURITIBA;TR792922;PR.CWS.ARR.12
PR;CURITIBA;TR792922;PR.CWS.ARR.11
PR;CURITIBA;TR792926;PR.CSM.TAR.11
PR;CURITIBA;TR792926;PR.CWS.BOQ.11
PR;CURITIBA;TR792927;PR.CWS.BOQ.11
PR;CURITIBA;TR792927;PR.CWS.ARR.12
PR;CURITIBA;TR792927;PR.CWS.ARR.11
PR;CURITIBA;TR792927;PR.CWS.ARR.13
PR;CURITIBA;TR792927;PR.CWS.PIN.11
PR;CURITIBA;TR792934;PR.CWN.CEO.12
PR;CURITIBA;TR792934;PR.CWN.CEO.11
PR;CURITIBA;TR792934;PR.CWN.SFE.11
PR;CURITIBA;TR792948;PR.CWS.ARR.12
PR;CURITIBA;TR792948;PR.CWS.BOQ.11
PR;CURITIBA;TR792948;PR.CWS.ARR.11
PR;CURITIBA;TR792948;PR.CWN.CEO.11
PR;CURITIBA;TR792948;PR.CWS.ARR.13
PR;CURITIBA;TR792948;PR.CWN.CEO.12
PR;CURITIBA;TR792948;PR.CWS.PIN.11
PR;CURITIBA;TR793198;PR.CSM.TAR.11
PR;CURITIBA;TR793198;PR.CNM.BOV.11
PR;CURITIBA;TR793198;PR.CWN.CEO.11
PR;CURITIBA;TR793198;PR.CWS.ARR.13
PR;CURITIBA;TR793198;PR.CWN.SFE.11
PR;CURITIBA;TR793199;PR.CWS.ARR.11
PR;CURITIBA;TR793199;PR.CWS.ARR.13
PR;CURITIBA;TR793199;PR.CWS.BOQ.11
PR;CURITIBA;TR793199;PR.CWS.ARR.12
PR;CURITIBA;TR793202;PR.CWS.ARR.11
PR;CURITIBA;TR793204;PR.CSM.TAR.11
PR;CURITIBA;TR793204;PR.CWN.CEO.11
PR;CURITIBA;TR793204;PR.CWS.BOQ.11
PR;CURITIBA;TR793206;PR.CWN.CEO.12
PR;CURITIBA;TR793206;PR.CWS.BOQ.11
PR;CURITIBA;TR793206;PR.CWS.ARR.11
PR;CURITIBA;TR793206;PR.CWS.ARR.13
PR;CURITIBA;TR793206;PR.CWS.PIN.11
PR;CURITIBA;TR793206;PR.CWS.ARR.12
PR;CURITIBA;TR793208;PR.CSM.TAR.11
PR;CURITIBA;TR793208;PR.CWS.ARR.12
PR;CURITIBA;TR793208;PR.CWS.BOQ.11
PR;CURITIBA;TR793208;PR.CWS.ARR.11
PR;CURITIBA;TR793265;PR.CWS.PIN.11
PR;CURITIBA;TR793265;PR.CWN.CEO.11
PR;CURITIBA;TR793265;PR.CWN.SFE.11
PR;CURITIBA;TR793265;PR.CWS.BOQ.11
PR;CURITIBA;TR793265;PR.CSM.TAR.11
PR;CURITIBA;TR793265;PR.CWS.ARR.11
PR;CURITIBA;TR793267;PR.CWS.ARR.11
PR;CURITIBA;TR793267;PR.CWS.ARR.13
PR;CURITIBA;TR793267;PR.CWS.ARR.12
PR;CURITIBA;TR793268;PR.CWS.ARR.12
PR;CURITIBA;TR793268;PR.CWS.BOQ.11
PR;CURITIBA;TR793268;PR.CWS.ARR.11
PR;CURITIBA;TR793268;PR.CWS.ARR.13
PR;CURITIBA;TR793431;PR.CWS.ARR.12
PR;CURITIBA;TR793431;PR.CWS.ARR.11
PR;CURITIBA;TR793431;PR.CWS.ARR.13
PR;CURITIBA;TR793450;PR.CNM.BOV.11
PR;CURITIBA;TR793709;PR.CWS.ARR.12
PR;CURITIBA;TR793709;PR.CWS.BOQ.11
PR;CURITIBA;TR793709;PR.CWS.ARR.11
PR;CURITIBA;TR793709;PR.CWS.ARR.13
PR;CURITIBA;TR793709;PR.CWS.PIN.11
PR;CURITIBA;TR793710;PR.CWN.CEO.12
PR;CURITIBA;TR793710;PR.CWN.CEO.11
PR;CURITIBA;TR793711;PR.CWS.ARR.13
PR;CURITIBA;TR793712;PR.CWN.CEO.11
PR;CURITIBA;TR793712;PR.CWN.SFE.11
PR;CURITIBA;TR793712;PR.CWN.CEO.12
PR;CURITIBA;TR793712;PR.CSM.TAR.11
PR;CURITIBA;TR793712;PR.CNM.BOV.11
PR;CURITIBA;TR793713;PR.CSM.TAR.11
PR;CURITIBA;TR793714;PR.CSM.TAR.11
PR;CURITIBA;TR793715;PR.CWN.CEO.12
PR;CURITIBA;TR793715;PR.CNM.ATT.11
PR;CURITIBA;TR793715;PR.CNM.BOV.11
PR;CURITIBA;TR793715;PR.CSM.TAR.11
PR;CURITIBA;TR793715;PR.CWS.BOQ.11
PR;CURITIBA;TR793718;PR.CWS.BOQ.11
PR;CURITIBA;TR793718;PR.CWS.ARR.12
PR;CURITIBA;TR793881;PR.CWS.BOQ.11
PR;CURITIBA;TR793883;PR.CWS.ARR.12
PR;CURITIBA;TR793883;PR.CSM.TAR.11
PR;CURITIBA;TR793883;PR.CWS.BOQ.11
PR;CURITIBA;TR793883;PR.CWS.ARR.13
PR;CURITIBA;TR793883;PR.CWS.PIN.11
PR;CURITIBA;TR794378;PR.CWS.PIN.11
PR;CURITIBA;TR794378;PR.CWS.ARR.12
PR;CURITIBA;TR794378;PR.CWS.BOQ.11
PR;CURITIBA;TR794378;PR.CWS.ARR.11
PR;CURITIBA;TR794378;PR.CWS.ARR.13
PR;CURITIBA;TR794411;PR.CWS.PIN.11
PR;CURITIBA;TR794411;PR.CWS.BOQ.11
PR;CURITIBA;TR794411;PR.CWS.ARR.13
PR;CURITIBA;TR794411;PR.CWS.ARR.12
PR;CURITIBA;TR794412;PR.CWN.CEO.11
PR;CURITIBA;TR794412;PR.CWN.CEO.12
PR;CURITIBA;TR794928;PR.CWN.SFE.11
PR;CURITIBA;TR794931;PR.CWN.CEO.11
PR;CURITIBA;TR794931;PR.CWN.SFE.11
PR;CURITIBA;TR794933;PR.CWN.CEO.12
PR;CURITIBA;TR794933;PR.CWN.CEO.11
PR;CURITIBA;TR795017;PR.CWN.SFE.11
