uf;municipio;matricula_tecnico;setor
PR;CURITIBA;TR089081;PR.CWS.BOQ.11
PR;CURITIBA;TR089081;PR.CWS.ARR.11
PR;CURITIBA;TR089081;PR.CWS.ARR.13
PR;CURITIBA;TR089081;PR.CWS.PIN.11
PR;CURITIBA;TR106960;PR.CWS.PIN.11
PR;CURITIBA;TR115091;PR.CWS.ARR.12
PR;CURITIBA;TR115091;PR.CWS.ARR.11
PR;CURITIBA;TR115091;PR.CWS.ARR.13
PR;CURITIBA;TR147159;PR.CNM.ATT.11
PR;CURITIBA;TR182194;PR.CWS.BOQ.11
PR;CURITIBA;TR307599;PR.CWS.PIN.12
PR;CURITIBA;TR307599;PR.CWS.PIN.11
PR;CURITIBA;TR370046;PR.CNM.ATT.11
PR;CURITIBA;TR383489;PR.CSM.TAR.11
PR;CURITIBA;TR401079;PR.CWS.ARR.12
PR;CURITIBA;TR401079;PR.CWS.ARR.11
PR;CURITIBA;TR401079;PR.CWS.ARR.13
PR;CURITIBA;TR401079;PR.CWS.PIN.11
PR;CURITIBA;TR435996;PR.CWS.BOQ.11
PR;CURITIBA;TR436012;PR.CWN.CEO.12
PR;CURITIBA;TR436012;PR.CWN.CEO.11
PR;CURITIBA;TR439001;PR.CWS.ARR.11
PR;CURITIBA;TR439001;PR.CWS.ARR.13
PR;CURITIBA;TR470887;PR.CWS.PIN.11
PR;CURITIBA;TR470887;PR.CWS.BOQ.11
PR;CURITIBA;TR470887;PR.CNM.BOV.11
PR;CURITIBA;TR470887;PR.CWN.CEO.12
PR;CURITIBA;TR470887;PR.CWS.ARR.12
PR;CURITIBA;TR470887;PR.CSM.TAR.11
PR;CURITIBA;TR490843;PR.CNM.BOV.11
PR;CURITIBA;TR490843;PR.CWS.BOQ.11
PR;CURITIBA;TR490843;PR.CWS.ARR.13
PR;CURITIBA;TR495054;PR.CNM.BOV.11
PR;CURITIBA;TR496092;PR.CSM.TAR.11
PR;CURITIBA;TR496092;PR.CNM.BOV.11
PR;CURITIBA;TR496092;PR.CWN.CEO.11
PR;CURITIBA;TR496092;PR.CWS.ARR.12
PR;CURITIBA;TR497091;PR.CNM.ATT.11
PR;CURITIBA;TR511529;PR.CWS.PIN.11
PR;CURITIBA;TR511533;PR.CWN.SFE.11
PR;CURITIBA;TR511533;PR.CWN.CEO.12
PR;CURITIBA;TR511541;PR.CNM.BOV.11
PR;CURITIBA;TR511541;PR.CWN.CEO.12
PR;CURITIBA;TR511541;PR.CNM.ATT.11
PR;CURITIBA;TR511541;PR.CWN.SFE.11
PR;CURITIBA;TR511541;PR.CWS.BOQ.11
PR;CURITIBA;TR511541;PR.CSM.TAR.11
PR;CURITIBA;TR521656;PR.CWS.ARR.12
PR;CURITIBA;TR521656;PR.CWS.ARR.11
PR;CURITIBA;TR521656;PR.CWS.ARR.13
PR;CURITIBA;TR521815;PR.CWS.ARR.12
PR;CURITIBA;TR521815;PR.CWS.ARR.13
PR;CURITIBA;TR521815;PR.CWS.ARR.11
PR;CURITIBA;TR525156;PR.CSM.TAR.11
PR;CURITIBA;TR525156;PR.CWS.BOQ.11
PR;CURITIBA;TR525271;PR.CSM.TAR.11
PR;CURITIBA;TR526843;PR.CWS.PIN.11
PR;CURITIBA;TR526843;PR.CWS.PIN.12
PR;CURITIBA;TR526843;PR.CWS.ARR.11
PR;CURITIBA;TR528206;PR.CWS.ARR.13
PR;CURITIBA;TR528617;PR.CWS.ARR.11
PR;CURITIBA;TR528617;PR.CWS.ARR.12
PR;CURITIBA;TR559000;PR.CSM.TAR.11
PR;CURITIBA;TR561016;PR.CWS.BOQ.11
PR;CURITIBA;TR566926;PR.CSM.TAR.11
PR;CURITIBA;TR572630;PR.CWN.SFE.11
PR;CURITIBA;TR572630;PR.CWN.CEO.11
PR;CURITIBA;TR572632;PR.CWS.ARR.12
PR;CURITIBA;TR572634;PR.CWS.BOQ.11
PR;CURITIBA;TR572988;PR.CWS.BOQ.11
PR;CURITIBA;TR573833;PR.CWS.ARR.12
PR;CURITIBA;TR573833;PR.CWS.ARR.13
PR;CURITIBA;TR575671;PR.CWS.ARR.11
PR;CURITIBA;TR575671;PR.CSM.TAR.11
PR;CURITIBA;TR576554;PR.CWS.PIN.12
PR;CURITIBA;TR576569;PR.CWS.PIN.11
PR;CURITIBA;TR576569;PR.CWS.ARR.12
PR;CURITIBA;TR576569;PR.CWS.ARR.11
PR;CURITIBA;TR576572;PR.CNM.BOV.11
PR;CURITIBA;TR590925;PR.CWS.ARR.12
PR;CURITIBA;TR590925;PR.CWS.ARR.11
PR;CURITIBA;TR590936;PR.CWS.BOQ.11
PR;CURITIBA;TR590936;PR.CWS.ARR.11
PR;CURITIBA;TR590936;PR.CWS.ARR.12
PR;CURITIBA;TR590937;PR.CWS.ARR.13
PR;CURITIBA;TR605930;PR.CWS.ARR.13
PR;CURITIBA;TR612669;PR.CWN.CEO.12
PR;CURITIBA;TR612669;PR.CWN.SFE.11
PR;CURITIBA;TR612669;PR.CWN.CEO.11
PR;CURITIBA;TR612669;PR.CNM.BOV.11
PR;CURITIBA;TR612669;PR.CNM.ATT.11
